file_name,label,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_40,feature_41,feature_42,feature_43,feature_44,feature_45,feature_46,feature_47,feature_48,feature_49,feature_50,feature_51,feature_52,feature_53,feature_54,feature_55,feature_56,feature_57,feature_58,feature_59,feature_60,feature_61,feature_62,feature_63,feature_64,feature_65,feature_66,feature_67,feature_68,feature_69,feature_70,feature_71,feature_72,feature_73,feature_74,feature_75,feature_76,feature_77,feature_78,feature_79,feature_80,feature_81,feature_82,feature_83,feature_84,feature_85,feature_86,feature_87,feature_88,feature_89,feature_90,feature_91,feature_92,feature_93,feature_94,feature_95,feature_96,feature_97,feature_98,feature_99,feature_100,feature_101,feature_102,feature_103,feature_104,feature_105,feature_106,feature_107,feature_108,feature_109,feature_110,feature_111,feature_112,feature_113,feature_114,feature_115,feature_116,feature_117,feature_118,feature_119,feature_120,feature_121,feature_122,feature_123,feature_124,feature_125,feature_126,feature_127,feature_128,feature_129,feature_130,feature_131,feature_132,feature_133,feature_134,feature_135,feature_136,feature_137,feature_138,feature_139,feature_140,feature_141,feature_142,feature_143,feature_144,feature_145,feature_146,feature_147,feature_148,feature_149,feature_150,feature_151,feature_152,feature_153,feature_154,feature_155,feature_156,feature_157,feature_158,feature_159,feature_160,feature_161
DF_E_2000011,0,-258.1237,68.655525,-4.0930696,41.92696,-12.91022,0.7659336,-32.110188,-10.331691,-5.0771213,-13.207696,-4.8232126,-6.7977405,-1.5137043,-48.819332,-44.22192,-17.229574,-5.28713,2.0420287,1.3924292,-4.284013,-7.952328,-8.076933,-9.483189,-8.681447,-8.592798,-11.418707,-14.043278,-13.725918,-9.436922,-6.70764,-7.9062595,-9.160915,-9.828675,-10.067778,-10.511827,-10.174805,-9.285073,-10.994771,-13.4295435,-15.003174,-16.107359,-17.748278,-18.991129,-19.851246,-21.202433,-22.535383,-24.01247,-26.02544,-25.993984,-24.16919,-23.079205,-23.542614,-23.996012,-23.716835,-23.557178,-23.347166,-24.070633,-25.21634,-26.588552,-27.028408,-26.352156,-25.571218,-26.023405,-27.321047,-26.19271,-24.511059,-23.867748,-24.39712,-24.006432,-22.272968,-21.835423,-21.025196,-20.600628,-21.840809,-20.824434,-20.032051,-19.323957,-19.865751,-20.343765,-20.363274,-20.3569,-20.987354,-19.888605,-20.867228,-20.552599,-19.72223,-20.299587,-21.629816,-22.850016,-25.123331,-25.73399,-25.154554,-24.407131,-23.32849,-23.11407,-22.775835,-24.043097,-25.051756,-25.1268,-25.014223,-24.944765,-24.57978,-24.962944,-25.334751,-24.433994,-23.739052,-22.067646,-21.194633,-20.63942,-21.50186,-22.398664,-23.677765,-24.875576,-25.278442,-25.224623,-24.021454,-22.688484,-21.609041,-22.114878,-23.697014,-25.229546,-26.682426,-28.675676,-30.881836,-33.099743,-34.87773,-36.29441,-36.789078,-36.031395,-36.00043,-37.11924,-38.40163,-38.585907,-39.128178,-38.819817,-37.985874,-37.985264,-39.181747,-40.085594,-42.113228,-43.11476,-349.5192,131.28255,-30.924715,20.17509,24.72299,0.65978295,-2.6223304,23.012218,3.9256124,9.343865,2.8294005,-5.077148,-18.991941,-7.59892,-10.673194,-18.30231,-13.084589,-9.020614,-4.3969617,-10.741228
DF_E_2000013,0,-199.31352,73.79578,-20.631084,21.234211,3.5823045,-23.7805,-21.868462,-15.262335,-20.152277,-11.396463,-7.348845,-8.00413,-3.1949596,-41.821995,-38.660667,-19.831127,-14.512627,-15.087778,-9.976723,0.295625,7.134361,5.475065,-0.68274623,-6.5320644,-8.765079,-8.615909,-6.901479,-4.5554857,-2.2312515,-2.1988845,-3.5419474,-6.034416,-6.527863,-5.771362,-5.086166,-4.894698,-3.450399,-4.7867794,-7.2756214,-8.521582,-9.285979,-10.085976,-11.237214,-12.979765,-14.701369,-16.156803,-17.911613,-19.564718,-19.808844,-19.414465,-19.375078,-19.443417,-17.56938,-16.52625,-16.504742,-16.131304,-16.666029,-16.382177,-16.141571,-15.369941,-14.849011,-14.213713,-14.644613,-16.003998,-17.653053,-17.965683,-16.176077,-15.5001545,-16.650913,-17.393799,-18.196388,-16.824404,-12.960916,-12.579618,-14.428782,-15.0793,-13.763856,-11.254232,-10.227974,-11.47059,-12.267056,-11.949775,-12.450203,-12.161391,-14.110628,-14.500842,-15.227404,-15.092417,-15.535052,-14.4823675,-14.405747,-14.4850855,-14.758219,-14.984632,-15.430599,-15.11476,-14.344389,-16.16921,-16.34897,-16.827604,-19.661026,-20.836071,-22.849438,-24.595207,-24.592617,-24.92156,-24.842916,-25.002209,-25.300661,-24.78635,-25.808386,-25.514812,-26.620098,-26.973358,-27.79809,-27.92375,-26.725815,-26.106544,-25.76389,-25.11319,-25.004442,-25.573637,-27.442772,-27.935051,-29.251457,-30.895046,-31.049553,-31.277426,-31.096691,-31.288652,-30.519957,-28.99375,-28.309446,-28.152542,-27.878769,-27.600271,-28.406582,-30.513132,-32.54465,-33.260014,-33.145355,-281.75726,122.63332,21.32647,-3.1194048,-14.107469,5.5313873,0.6092424,30.59558,-9.905599,-1.3321013,-0.3090238,-10.596956,-7.48214,-9.551669,-14.375624,-21.880646,-11.038104,-7.925021,-8.240587,-15.68633
DF_E_2000024,0,-249.6157,58.331707,3.9493074,28.022827,-4.419909,-2.3045979,-31.413967,-4.2367945,-15.906114,-0.34965625,-11.947698,-5.1952133,-13.958888,-39.6,-37.16432,-19.986713,-14.046352,-11.984333,-6.280092,-0.6779396,-0.1174167,-5.1865067,-8.52425,-11.302367,-13.650454,-11.98984,-8.164847,-6.9417925,-7.8232923,-9.492934,-10.743823,-13.00814,-13.415786,-11.656833,-9.821989,-10.704045,-11.715528,-12.306136,-14.048283,-15.48029,-16.541424,-16.671001,-17.501238,-18.602224,-19.375566,-20.791801,-21.948519,-22.25876,-22.81475,-23.94694,-24.049776,-24.957537,-24.92833,-24.852978,-23.919992,-23.414646,-24.707912,-24.69326,-25.391743,-25.905,-25.928905,-24.77491,-23.953451,-24.40664,-23.565536,-23.916012,-23.230837,-22.37529,-22.342558,-22.48647,-20.713213,-19.112541,-18.799171,-19.423365,-19.714756,-20.42708,-19.47777,-20.494968,-21.390781,-21.092915,-20.94146,-21.54857,-21.406387,-21.50576,-22.292233,-22.228598,-22.95106,-23.326777,-23.471085,-22.148306,-21.688505,-22.037262,-21.436495,-21.14537,-22.251299,-22.887596,-22.234049,-24.42138,-24.751139,-25.066828,-26.68037,-26.131302,-27.954576,-28.079428,-26.662167,-26.640882,-25.53747,-24.78999,-24.507122,-24.227676,-24.373829,-23.647179,-23.811007,-24.260693,-24.641014,-24.739183,-24.47446,-25.09894,-25.29949,-24.944424,-25.110327,-26.000145,-26.694708,-27.020586,-27.39682,-25.855469,-25.60537,-27.248497,-28.226955,-28.93145,-29.40123,-28.280241,-29.209341,-29.769121,-30.296274,-27.438484,-25.141945,-28.430002,-47.944042,-51.551083,-51.551083,-367.70282,149.35785,-58.80701,85.85676,-47.8816,59.596012,-44.518536,54.72926,-23.17542,33.810406,-24.1717,9.518225,-7.4193373,-7.6997147,-0.9065622,-28.34412,-2.151162,-25.501905,11.242413,-26.740135
DF_E_2000026,0,-259.92978,63.99832,-26.163681,31.10837,-39.478016,-4.3280816,-23.835608,-17.410309,-8.253079,-15.548808,-10.248287,-5.1082106,-10.831934,-42.687965,-42.27315,-32.111507,-25.931515,-23.630373,-20.956612,-17.46299,-12.395278,-5.5559416,-1.0998194,-2.9691985,-9.796801,-15.390312,-17.27526,-18.844881,-17.514893,-15.01177,-11.554021,-10.064227,-6.7621074,-5.8508253,-7.209235,-9.951655,-13.28503,-15.81392,-16.599365,-16.182682,-15.9024515,-16.334486,-14.276134,-12.572949,-13.493377,-15.880381,-17.97065,-19.651564,-19.974226,-21.966988,-23.455936,-23.296776,-20.938602,-19.421068,-19.68506,-20.42376,-19.765903,-19.605698,-20.175285,-22.473942,-23.561926,-23.250027,-21.361605,-20.89083,-22.157692,-21.97202,-22.836021,-23.556976,-24.453573,-24.256697,-22.219973,-20.954084,-22.88831,-23.573502,-23.553173,-23.216429,-22.220398,-21.262575,-22.93512,-23.09989,-21.791624,-19.20949,-18.964725,-21.449015,-23.397257,-22.078514,-20.060915,-20.606834,-23.350971,-24.197042,-22.034807,-21.958414,-23.561054,-24.5323,-24.34656,-23.479162,-23.20415,-23.392633,-23.062696,-19.644533,-18.31395,-19.01681,-16.89392,-16.670198,-18.50319,-18.825459,-19.232372,-21.58966,-21.008768,-22.08131,-22.548506,-21.513792,-22.11654,-21.63707,-21.948458,-22.41209,-23.443281,-23.805628,-25.057163,-26.774214,-28.178905,-30.876303,-33.787502,-35.164898,-36.034714,-36.363354,-37.18338,-37.81615,-38.176323,-38.37557,-38.564766,-38.600517,-38.542767,-39.12863,-39.441982,-39.345882,-39.459248,-40.96376,-47.08149,-47.13976,-47.16059,-514.6748,230.23056,-98.08394,31.555162,8.87095,28.959904,-31.623695,24.442461,-22.713358,2.011745,-6.6129518,-4.600019,-20.977882,-24.611738,-2.3768907,-11.88677,-1.9407805,-18.861002,-6.7123938,-18.04803
DF_E_2000027,0,-287.07608,90.7032,-15.866631,39.666374,-10.925219,-14.018187,-10.534684,-19.955498,-19.123466,0.3445767,-9.257876,6.2824216,-11.268511,-38.18275,-34.630848,-18.639828,-7.80873,-6.774569,-11.108116,-17.920708,-15.236155,-10.033323,-5.556663,-7.957185,-14.732022,-15.512,-11.929302,-7.2555,-6.990568,-10.810828,-12.255632,-9.697534,-5.1652284,-4.472739,-8.233127,-12.515575,-15.011753,-14.16188,-13.847072,-16.322008,-19.652445,-20.085155,-18.626953,-18.464485,-21.244211,-23.933084,-23.093563,-21.12295,-21.53876,-24.095783,-28.013254,-29.746466,-26.92656,-24.72458,-24.324078,-24.63738,-25.204714,-24.944073,-25.952972,-25.578426,-24.308542,-21.098785,-20.131794,-21.66931,-22.840412,-23.587225,-24.136772,-25.466684,-24.01601,-23.15399,-22.854948,-24.61286,-27.74348,-27.827196,-24.302183,-23.304302,-24.305407,-26.712498,-27.135221,-25.372236,-23.534033,-23.415474,-24.78105,-25.195889,-24.235289,-23.013254,-22.65739,-24.33034,-25.306065,-23.043999,-21.211046,-22.182837,-22.435446,-21.102465,-20.94353,-22.289175,-25.090738,-24.361002,-24.623507,-26.77959,-24.413305,-23.125746,-25.349888,-23.580206,-22.560045,-24.078362,-23.643644,-23.601505,-27.982029,-29.443424,-32.835186,-36.38263,-34.21779,-35.91063,-34.6175,-35.64271,-36.720657,-36.87799,-37.701565,-38.706017,-40.94594,-41.005207,-39.425858,-39.67596,-37.083237,-36.23958,-34.98482,-36.682713,-36.997074,-39.442375,-40.182896,-39.681892,-40.345425,-40.551746,-41.866104,-42.636944,-42.62492,-44.081886,-48.74183,-48.762016,-48.762016,-544.853,222.7547,-35.580822,37.584003,-32.538742,63.02327,2.4456208,7.840644,-10.033164,19.960564,-15.807596,3.664858,-5.094876,-14.755415,6.072722,-6.17671,-15.827483,-22.88222,-0.123108126,-12.377185
DF_E_2000028,0,-222.45735,95.67867,-10.6767,22.823954,5.5065074,0.4230895,-26.016184,10.336379,-27.883097,9.209872,-7.2533765,-8.416313,-3.3817852,-31.67839,-30.673492,-12.826047,-2.4208724,2.2744312,4.1398754,0.7937204,-1.2335255,-2.6302717,-2.8813555,-1.4718728,-0.9916776,-4.8461933,-6.8361535,-8.040997,-10.07882,-9.561036,-9.541724,-10.254939,-8.285003,-7.03599,-6.2838902,-4.2038217,-5.493902,-8.537922,-10.690015,-10.426926,-9.229491,-9.126998,-11.882373,-16.121964,-19.497068,-19.90719,-16.792467,-15.168194,-15.824707,-18.496244,-18.9351,-18.626337,-17.11841,-15.563385,-16.502089,-18.90731,-17.974318,-17.315262,-17.521786,-16.862677,-17.664324,-18.312532,-17.259825,-16.171762,-17.44128,-17.684526,-17.857489,-16.188078,-15.743026,-16.451555,-16.802935,-15.374237,-14.756862,-16.053581,-16.43453,-14.951889,-15.6256075,-17.285952,-16.937914,-16.983847,-18.197517,-17.150427,-16.86843,-18.417759,-20.123682,-20.348873,-22.378815,-21.330046,-18.606932,-17.168139,-15.831264,-15.90684,-15.24081,-16.243221,-17.140106,-19.49412,-22.688707,-22.305906,-25.010035,-24.66804,-26.852005,-26.928131,-29.71847,-28.85341,-28.606089,-29.981176,-30.392511,-32.30743,-32.305954,-33.218258,-31.47753,-30.671158,-32.65398,-34.22056,-31.866915,-26.518127,-24.704376,-23.908516,-23.357779,-23.550638,-24.821558,-27.532019,-25.315027,-23.428106,-24.606314,-25.096033,-24.923773,-25.471369,-27.319246,-29.948608,-33.818905,-37.64184,-35.81284,-34.042194,-34.905327,-36.594162,-37.28211,-40.41779,-46.898895,-47.328476,-47.328476,-431.71973,220.55861,-34.08326,107.53591,-67.719,12.891567,14.588467,42.67862,-22.433645,16.609476,-13.235062,10.518614,1.9703255,-16.044832,22.840605,-28.90741,-10.275849,-12.12354,1.9345099,-3.2116842
DF_E_2000031,0,-174.25746,93.37453,-12.62779,28.056303,-5.747597,-1.8820264,-15.44074,-32.55474,-15.801184,-10.3109455,-15.706344,-10.739341,-15.693533,-46.62837,-39.15226,-15.194202,1.1666312,10.130003,6.1984663,-0.6666081,0.34291327,7.5125275,12.133685,7.731395,-1.6672931,-4.43599,0.48864055,4.787417,3.661016,-1.2074908,-1.5970234,2.0434406,5.1408954,4.314424,-0.931338,-5.7596254,-6.9900193,-6.4610047,-6.8569965,-9.761076,-10.675642,-11.408308,-11.611871,-11.1402445,-10.112973,-9.34168,-11.007835,-11.906346,-14.811796,-17.084013,-16.797373,-15.727046,-14.516117,-15.243478,-15.426428,-16.282732,-15.37843,-13.776448,-11.828824,-9.843565,-9.904475,-11.399307,-12.380028,-12.868927,-11.463683,-9.870711,-10.296356,-11.382306,-11.738177,-11.472623,-11.884593,-11.104532,-9.755069,-10.358389,-12.479983,-12.2097645,-12.215865,-13.448491,-12.51028,-14.3104,-16.446836,-15.931557,-16.697329,-17.580832,-19.398602,-21.453175,-18.486486,-18.80982,-19.31232,-17.191568,-14.170335,-14.129427,-15.574991,-14.511515,-15.471235,-17.762705,-17.637217,-17.26031,-17.956278,-17.556013,-15.859882,-16.193394,-16.73828,-15.963665,-16.789352,-16.547844,-16.705078,-18.324654,-17.161812,-18.698603,-18.80159,-19.679796,-21.175802,-21.356293,-22.72132,-24.838558,-26.457537,-26.758368,-27.789757,-28.802622,-28.982054,-28.82702,-28.802984,-29.35679,-30.036621,-29.755985,-29.675203,-29.170942,-29.328081,-30.042841,-30.524971,-30.322508,-30.320362,-30.290392,-29.722836,-29.720102,-30.381851,-31.689821,-33.92154,-35.499863,-35.789963,-249.83385,144.35394,10.43626,4.2026234,9.957661,27.498306,-9.689358,-1.2287251,-2.9596334,9.127395,-2.2140694,1.2931399,0.2165688,-5.6046305,-8.920335,-18.61314,-15.969816,-19.615831,-15.625073,-11.052485
DF_E_2000032,0,-211.65985,86.47323,-15.597048,7.5127397,-8.942969,-2.5865018,-33.876396,-19.455244,-19.80903,-0.4921953,-13.864491,-8.517416,1.0862031,-46.477802,-44.01998,-15.60284,-9.891729,-12.541996,-12.069287,-6.788973,2.9231448,5.6720243,1.8817363,-2.403809,-5.939743,-8.937383,-10.384468,-9.301439,-5.9395976,-2.1346188,-1.6101633,-3.7754145,-4.8267965,-5.46807,-5.1692605,-5.6090345,-3.525654,-1.5284852,-1.8932567,-4.307066,-7.9470596,-10.820127,-12.380437,-14.366301,-14.4154625,-14.691692,-15.385946,-15.981184,-17.315372,-19.02422,-19.121675,-19.10321,-19.091341,-16.501286,-14.832892,-13.94454,-13.585428,-14.294434,-15.636359,-15.481676,-15.055636,-13.871963,-13.593525,-14.222848,-14.165951,-15.677192,-16.513542,-14.656923,-13.490451,-13.015285,-13.02454,-13.019427,-13.425209,-13.44588,-12.805278,-12.514197,-13.137462,-13.400913,-13.847969,-14.210577,-15.148265,-17.363663,-18.26544,-20.346844,-21.824406,-22.776382,-22.976583,-23.636497,-24.154898,-23.355127,-22.552553,-22.764744,-22.571157,-22.7846,-22.234753,-22.29715,-21.765228,-21.761293,-21.614798,-20.77495,-20.700483,-21.051163,-20.571451,-21.887033,-22.312212,-24.008535,-26.165293,-27.47333,-28.947725,-30.073196,-31.385336,-30.320183,-29.193459,-26.952545,-24.824814,-22.329416,-21.9343,-21.304934,-21.46421,-22.648506,-24.324389,-26.17739,-28.294353,-30.533564,-30.913572,-29.067139,-27.108307,-26.819586,-27.52929,-27.78709,-28.819258,-31.046864,-34.087326,-36.436836,-37.46858,-37.247112,-36.7932,-37.176918,-37.98522,-36.93324,-34.90596,-306.87543,136.18146,5.988644,36.30894,-1.462342,-12.368721,7.7025156,-9.077834,1.3858441,-20.744442,12.043652,15.689835,-20.411121,-21.648632,-10.246469,-19.352104,-15.64101,-18.348932,-9.68469,-12.35811
DF_E_2000040,0,-285.03638,119.34391,-23.278152,7.900449,2.8795862,-8.589962,-6.7176266,-16.276672,-17.383568,-5.9508586,1.7834413,-10.223601,-15.1697235,-48.20404,-39.21243,-15.589187,-5.229217,-3.2660375,-5.0862484,-7.3936415,-8.663352,-8.804367,-7.5184894,-7.597904,-9.138735,-10.001226,-8.068366,-6.8554125,-8.170677,-10.218765,-11.948346,-11.637708,-10.779424,-11.166747,-11.7595005,-12.741349,-14.521113,-13.774063,-13.242197,-13.024197,-11.271016,-12.368968,-13.868142,-15.332405,-17.628593,-18.02493,-18.199984,-18.756744,-19.49701,-21.202803,-21.166367,-20.20553,-20.59259,-21.41753,-21.044638,-19.377878,-18.162508,-17.376854,-18.299109,-18.710981,-17.482727,-15.930455,-16.1401,-16.786043,-16.46773,-16.73921,-16.586245,-16.416296,-16.17293,-15.814168,-17.975988,-20.170996,-21.292343,-23.662365,-24.679697,-24.88012,-25.157633,-24.856384,-24.342758,-24.082588,-23.398338,-24.300833,-24.649607,-24.795572,-26.244871,-25.586079,-26.423927,-25.34161,-23.988691,-23.115932,-22.740753,-22.616444,-23.598043,-25.346325,-26.659014,-28.061937,-29.503849,-30.484488,-31.103075,-31.50015,-31.446075,-32.172142,-33.21494,-33.79109,-34.427376,-34.754498,-34.815002,-34.73357,-35.489265,-35.921684,-36.041515,-36.96335,-37.71771,-38.35329,-39.727,-39.664402,-39.66635,-39.38216,-38.96353,-39.262657,-39.367294,-39.52376,-41.50588,-42.877388,-42.96861,-43.57326,-43.263523,-42.332535,-42.503674,-42.905308,-43.035156,-42.097847,-41.950268,-41.98496,-41.875725,-41.381695,-40.973957,-41.54907,-43.054417,-43.87683,-44.49639,-482.48618,183.04369,55.168804,6.9305496,-1.1715952,8.8998995,-6.9824076,14.255722,-10.406795,-2.1350334,-7.067238,-2.5928762,-5.2917066,7.0206146,-0.39665195,-11.040257,-13.313411,-11.339759,-15.465788,-11.758961
DF_E_2000042,0,-235.46138,107.85317,-3.075273,20.462427,4.2286234,-0.1657738,-28.729668,-4.472716,-23.641174,-5.9701715,-9.487602,-10.590841,-8.391691,-41.40687,-34.87519,-11.242053,-3.4445426,1.887283,5.3504725,2.9135227,-1.2793025,-2.7025192,-1.2518487,0.08108548,-1.1987677,-2.8977733,-3.618091,-1.9675573,-1.48334,-2.5312204,-4.0878177,-5.682846,-5.0125465,-4.315667,-5.2660456,-7.0290217,-8.542138,-8.932802,-8.509406,-9.301901,-11.838837,-14.393906,-15.627454,-15.64465,-15.510584,-16.853216,-19.164806,-19.330652,-18.21916,-17.044207,-17.412737,-18.3214,-19.463148,-17.952501,-17.010906,-17.93443,-18.922642,-19.25375,-19.255196,-17.824326,-17.393953,-18.76879,-19.156994,-18.624516,-18.059963,-17.915539,-17.395964,-17.47683,-16.972618,-17.474043,-16.445778,-16.030064,-16.203094,-17.536892,-18.135447,-17.818861,-17.85597,-18.247799,-19.417309,-20.25252,-20.127846,-20.754,-20.353373,-19.636957,-20.205505,-21.570948,-22.105038,-22.354963,-22.203512,-21.036098,-21.11477,-20.211721,-21.0137,-23.54955,-23.737211,-24.911432,-25.611485,-26.56992,-28.794369,-29.113781,-30.546925,-30.778933,-30.696573,-29.86527,-28.630129,-28.184599,-29.03116,-30.55513,-32.00147,-33.2047,-33.618896,-33.293472,-31.257883,-29.774471,-28.512852,-27.827576,-27.75119,-27.660845,-28.134893,-28.67609,-29.570732,-29.620157,-29.975294,-29.805006,-29.61622,-29.8459,-30.279924,-31.50484,-32.624146,-33.433323,-34.806976,-35.97776,-36.543846,-37.130745,-38.447327,-39.375248,-40.322346,-41.430855,-42.14451,-42.657513,-43.341335,-371.88474,154.39519,18.07063,56.492485,-7.0425344,-0.9978005,12.418464,17.071304,6.125201,1.5313785,-0.65435094,1.5770702,-4.9167933,-9.210768,-3.3786185,-7.614462,-20.179556,-17.8492,-9.270221,-5.0642767
